0.3	2.5	5.0	0.0	7.503759398496241
0.3	2.4	5.0	0.01	7.809523809523809
0.3	2.5	5.0	0.02	7.779448621553884
0.3	2.5	5.0	0.05	7.716791979949875
0.3	2.2	6.0	0.0	8.233082706766917
0.3	2.2	6.0	0.01	8.553884711779448
0.3	2.2	6.0	0.02	8.802005012531328
0.3	2.5	6.0	0.05	8.388471177944862
0.3	2.4	5.0	0.0	7.671679197994988
0.3	2.3	5.0	0.02	7.904761904761905
0.3	2.3	5.0	0.05	7.902255639097745
0.3	2.4	6.0	0.0	8.155388471177945
0.3	2.3	6.0	0.01	8.516290726817042
0.3	2.3	6.0	0.02	8.355889724310776
0.3	2.4	6.0	0.05	8.403508771929825
0.3	2.4	5.0	0.05	7.9448621553884715
0.3	2.4	6.0	0.01	8.37593984962406
0.3	2.3	5.0	0.0	7.6992481203007515
0.3	2.5	5.0	0.01	7.81704260651629
0.3	2.2	5.0	0.05	8.278195488721805
0.3	2.1	6.0	0.0	8.576441102756892
0.3	2.5	6.0	0.02	8.265664160401002
